Designator,MidX,MidY,Rotation,Layer
C1,118.4,-58.375,270,top
C2,123.3,-91.15,90,top
C3,116,-91.15,90,top
C4,130.7,-91.15,90,top
C5,144.2,-77.55,270,top
C6,135.25,-59.5,180,top
C7,129.3,-81.5,270,top
C8,135.25,-57.4,180,top
C9,128.75,-77.3,0,top
C10,128.75,-75.2,0,top
C11,141.85,-71.1,0,top
C12,135.7,-77.75,90,top
C13,141.5,-95.05,90,top
C14,139.4,-95.05,90,top
C15,111.42,-61.91,270,top
C16,127.2,-85.45,90,top
C17,103.1,-70.54,0,top
C18,133.7,-81.45,90,top
C19,133.55,-85.45,270,top
C20,103.3,-67,0,top
C21,135.8,-85.4,90,top
C22,103.25,-64.9,0,top
C23,142.95,-68.275,270,top
C24,140.875,-68.275,270,top
C25,114.69,-69.86,180,top
C26,114.59,-66.46,180,top
C27,115.2,-86.85,270,top
C28,130.25,-63.4,0,top
C29,129.2,-66.15,270,top
C30,129.45,-71,0,top
C31,119.57,-75.44,270,top
C32,117.47,-75.44,270,top
D1,116.875,-54.7,180,top
D2,104.8,-60.625,270,top
D3,108.415,-74.56,180,top
D4,138.925,-61.8,180,top
D5,107.2,-60.625,270,top
D6,108.415,-77.06,0,top
R1,142.1,-81.3125,270,top
R2,131.7,-59.5,180,top
R3,135.2125,-55.3,180,top
R4,131.45,-81.4875,270,top
R5,142.1,-77.4875,270,top
R9,127.25,-81.4375,90,top
R10,145.4125,-71.09,180,top
R11,128.7125,-73.1,0,top
R12,140.8125,-98.4,0,top
R13,141.8875,-73.2,180,top
R14,132.2875,-77.3,180,top
R15,138.4,-77.7875,270,top
R16,137.1875,-98.4,180,top
R17,109.4,-61.9,90,top
R19,135.8,-81.3875,270,top
R20,103.0875,-72.66,0,top
R21,131.45,-85.4875,270,top
R23,133.6875,-90.9,0,top
R24,133.6875,-88.4,0,top
R25,114.2125,-59.6,180,top
R26,113.5525,-74.76,180,top
R27,138.9875,-65.5,180,top
R28,138,-81.3125,90,top
R29,140,-81.3125,90,top
R30,129.3,-85.4125,90,top
R31,113.5525,-76.76,0,top
R32,114.2275,-62.06,0,top
R33,135.4875,-65.45,180,top
R34,117.3,-86.8875,270,top
R35,120.3,-67.5,0,top
R36,114.5525,-64.36,0,top
R37,114.4525,-72.26,0,top
R38,120.2875,-65.5,0,top
R39,119.8,-86.8125,270,top
R40,133.7875,-63.4,180,top
R41,109.4,-87.0125,90,top
R43,131.9875,-65.45,180,top
R44,129.4875,-68.9,0,top
R46,121,-62.7125,270,top
RV1,119.75,-91.3,0,top
RV2,112.45,-91.3,0,top
RV3,127.05,-91.3,0,top
U4,108.94,-68.56,270,top
U5,135,-71.26,90,top
U7,119.97,-81.1,0,top
